"ID","X","Y","Date","OCSKGM","type","top","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"data1165",-64.1042,-30.7167,2000-06-22,7.33159807983817,"SP",0,6.64012573853631,6.61886410410478,6.59760246967325,6.57634083524172,6.55507920081019,6.53381756637866,6.51255593194713,6.4912942975156,6.47003266308407,6.5690019055638,6.66797114804354
"data1166",-62.848667,-38.824861,2010-04-07,5.52004888765583,"SP",0,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583,5.52004888765583
"data1167",-62.658472,-38.766222,2010-04-08,2.49638699378852,"SP",0,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852,2.49638699378852
"data1168",-62.542639,-38.720722,2010-04-07,4.35073533838829,"SP",0,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829,4.35073533838829
"data1169",-65.749056,-39.031778,2010-05-18,2.89615992363406,"SP",0,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406,2.89615992363406
"data1170",-67.035944,-39.029778,2010-05-18,2.08519909004295,"SP",0,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295,2.08519909004295
"data1171",-67.035944,-39.029778,2010-05-18,1.61433147520193,"SP",0,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193,1.61433147520193
"data1172",-67.762111,-38.727139,2010-05-19,2.40601540776913,"SP",0,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913,2.40601540776913
"data1173",-59.616667,-34.452778,1966-03-27,5.77385753206319,"SP",0,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393,4.82498178524393
"data1174",-62.8919,-32.3633,1970-11-13,4.79820323555717,"SP",0,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348,4.52700878868348
"data1175",-68.061139,-38.537361,2010-05-19,2.2476201312246,"SP",0,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246,2.2476201312246
"data1176",-67.816167,-38.970722,2010-05-20,6.17386130636012,"SP",0,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012,6.17386130636012
"data1177",-63.0083,-31.0319,2008-12-03,4.96422696048183,"SP",0,5.07939702596501,5.06500076777961,5.05060450959421,5.03620825140882,5.02181199322342,5.00741573503802,4.99301947685262,4.97862321866723,4.91161111892768,4.84459901918814,4.77758691944859
"data1178",-63.403972,-39.325167,2010-07-13,8.98344181504005,"SP",0,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005,8.98344181504005
"data1179",-62.8097,-32.8528,1969-02-26,4.94401458122705,"SP",0,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439,4.73508052502439
"data1180",-63.313306,-39.264139,2010-07-13,4.60521209966619,"SP",0,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619,4.60521209966619
"data1181",-62.946083,-38.995222,2010-07-13,2.51638404534304,"SP",0,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304,2.51638404534304
"data1182",-64.3728,-34.6153,1976-12-03,2.84710192361472,"SP",0,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308,2.43119727461308
"data1183",-63.5833,-32.6586,1979-10-17,3.34348983206912,"SP",0,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972,2.67191646439972
"data1184",-63.2392,-34.1975,1978-11-01,3.82819432377506,"SP",0,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373,3.12916604025373
"data1185",-62.8531,-32.3808,1970-11-12,3.37884726410523,"SP",0,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738,3.187874816738
"data1186",-63.100722,-39.110361,2010-07-14,2.22358197400195,"SP",0,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195,2.22358197400195
"data1187",-62.82625,-38.90625,2010-07-14,2.74379070819638,"SP",0,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638,2.74379070819638
"data1188",-63.491278,-39.387861,2010-07-15,6.03732410073335,"SP",0,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335,6.03732410073335
"data1189",-63.552333,-39.429528,2010-07-15,2.40820117322143,"SP",0,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143,2.40820117322143
"data1190",-62.703528,-36.925,2010-08-24,3.56925200196426,"SP",0,3.72986834205265,3.70309895203792,3.67632956202319,3.64956017200846,3.62279078199372,3.59602139197899,3.62279078199372,3.64956017200846,3.61270764508817,3.57585511816789,3.53900259124761
"data1191",-62.692028,-36.906556,2010-08-24,4.55833761659571,"SP",0,4.76346280934252,4.72927527721805,4.69508774509358,4.66090021296911,4.62671268084465,4.59252514872018,4.62671268084465,4.66090021296911,4.61383537707776,4.56677054118641,4.51970570529506
"data1192",-62.718533,-37.099983,2010-08-24,6.91276405679542,"SP",0,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542,6.91276405679542
