"ID","X","Y","Date","CO_0-30","MaxDepth","Source"
"1700",-58.602797,-32.623983,2002-10-24,1.83399707860972,130,"sisINTA"
"1701",-58.729685,-33.366535,2002-10-20,3.22815935123994,110,"sisINTA"
"1702",-58.888837,-32.588996,2002-11-12,2.62117745584266,125,"sisINTA"
"1703",-58.888837,-32.588996,2002-12-12,2.60640790748741,125,"sisINTA"
"1704",-58.707387,-32.730157,2002-12-13,1.30206921009918,120,"sisINTA"
"1705",-58.726881,-32.560699,2002-11-13,1.88916187477434,124,"sisINTA"
"1706",-58.833894,-32.579672,2002-11-14,2.7654337903677,120,"sisINTA"
"1707",-58.771509,-28.377038,1971-11-18,0.394024532491072,90,"sisINTA"
"1708",-59.434436,-30.72767,1971-06-04,1.29962041406317,120,"sisINTA"
"1709",-59.421673,-30.740651,1971-06-15,2.81182055752293,144,"sisINTA"
"1710",-59.223449,-30.770282,1974-12-17,0.659482962346377,115,"sisINTA"
"1711",-58.458348,-30.956664,1972-07-28,1.78480877589795,115,"sisINTA"
"1712",-58.474443,-30.95991,1972-07-28,1.62613321279421,105,"sisINTA"
"1713",-59.171596,-31.471965,1974-10-22,3.48854173682848,125,"sisINTA"
"1714",-60.412248,-31.897289,1973-10-25,1.76704626171787,130,"sisINTA"
"1715",-58.876561,-32.623101,2002-11-14,2.26248445182584,120,"sisINTA"
"1716",-59.029591,-32.541391,2002-11-03,1.89803558879801,120,"sisINTA"
"1717",-59.023153,-32.542769,2002-11-03,1.87993428715202,110,"sisINTA"
"1718",-58.822076,-32.697988,2002-12-05,2.11302157112301,130,"sisINTA"
"1719",-59.036358,-33.154121,2002-12-05,1.18805060356176,115,"sisINTA"
"1720",-58.303874,-31.066899,1983-08-24,2.07781230146231,115,"sisINTA"
"1723",-58.953776,-28.641901,1970-02-14,0.45043638692196,115,"sisINTA"
"1725",-59.442916,-30.771031,1971-07-15,1.48598412667196,100,"sisINTA"
"1726",-59.501788,-30.758291,1971-06-16,2.04674135856719,115,"sisINTA"
"1727",-59.501788,-30.758291,1971-06-16,1.81924466598472,108,"sisINTA"
"1728",-58.711056,-28.489749,1972-04-18,0.94785898311728,102,"sisINTA"
"1730",-58.742146,-30.447951,1971-01-01,2.40668092942453,90,"sisINTA"
"1731",-58.256461,-30.345213,1971-01-01,2.099896651744,105,"sisINTA"
"1732",-58.238103,-30.356134,1971-01-01,2.27769494348517,120,"sisINTA"
"1733",-60.49749,-32.160907,1986-08-26,1.03384366425636,125,"sisINTA"
"1736",-59.986937,-32.296948,1986-12-02,2.26789259657157,108,"sisINTA"
"1737",-60.022904,-32.304814,1986-12-11,2.99106883208207,93,"sisINTA"
"1738",-59.948353,-32.114259,1992-11-25,2.11699333501804,150,"sisINTA"
"1739",-59.993737,-32.151876,1992-11-25,3.73065704515848,105,"sisINTA"
"1742",-58.562978,-30.71521,1979-06-28,2.41997744631485,155,"sisINTA"
"1743",-58.61659,-30.974719,1979-11-22,3.23241983665877,120,"sisINTA"
"1744",-58.71076,-30.876296,1979-12-14,1.87970692176416,120,"sisINTA"
"1745",-58.594024,-30.724549,1980-04-16,1.65810860213208,98,"sisINTA"
"1746",-58.773485,-30.762208,1980-05-08,1.71089069138722,86,"sisINTA"
"1747",-58.934499,-30.676915,1980-10-15,1.86250421503764,150,"sisINTA"
"1751",-58.876306,-30.833333,1981-04-24,2.66298983025918,114,"sisINTA"
"1752",-58.862008,-31.035455,1982-08-26,1.13691331244058,100,"sisINTA"
"1753",-58.946692,-31.199039,1982-11-23,2.93226943092806,115,"sisINTA"
"1754",-58.907178,-31.071123,1982-11-23,3.23274168612105,95,"sisINTA"
"1755",-59.14287,-31.078432,1982-12-08,1.54315705142841,60,"sisINTA"
"1756",-58.514641,-31.20145,1986-06-26,3.0068007913477,155,"sisINTA"
"1757",-58.408231,-31.216612,1986-06-11,2.47049864272494,130,"sisINTA"
"1758",-58.7,-35.016667,1971-05-06,1.60559164180525,93,"sisINTA"
"1759",-59.078246,-30.842555,1991-07-16,1.93107316066249,93,"sisINTA"
"1760",-60.462927,-32.33738,1989-04-18,1.54890387729238,115,"sisINTA"
"1761",-60.411978,-32.419653,1989-06-07,1.66509612571501,175,"sisINTA"
"1762",-60.469509,-32.364363,1990-04-19,0.0693662910259289,240,"sisINTA"
"1763",-60.416419,-32.394356,1989-04-19,0.34113378530171,110,"sisINTA"
"1764",-60.465376,-32.26943,1989-04-21,1.65139797400475,140,"sisINTA"
"1765",-60.387732,-32.267644,1990-06-05,2.5553852971972,140,"sisINTA"
"1766",-60.541389,-32.21686,1989-06-06,2.40009817174358,82,"sisINTA"
"1767",-60.518911,-32.23039,1989-06-06,2.21271996795235,120,"sisINTA"
"1768",-60.417303,-32.125905,1989-06-07,1.40800895096838,94,"sisINTA"
"1769",-60.434142,-32.092702,1989-06-09,1.91528133810033,140,"sisINTA"
"1770",-60.612022,-32.092397,1989-06-26,1.81133756493425,103,"sisINTA"
"1771",-60.566274,-32.014044,1989-06-27,1.93291805557629,110,"sisINTA"
"1772",-58.86425,-28.528411,1971-07-02,1.0153291344178,160,"sisINTA"
"1773",-60.218533,-32.200859,1989-06-28,2.04667240458044,115,"sisINTA"
