"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"1359",-59.662222,-34.645278,1966-09-15 00:00:00,12.2492343978412,"sisINTA","SP",0,30
"1361",-62.625,-39.391667,2015-06-03 00:00:00,2.27939574775812,"sisINTA","SP",0,30
"1369",-62.99,-39.473889,2015-06-17 00:00:00,5.67686503328063,"sisINTA","SP",0,30
"1382",-58.938096,-34.644167,1967-09-19 00:00:00,6.51363001324834,"sisINTA","SP",0,30
"1394",-59.673056,-34.536111,1966-03-25 00:00:00,8.11378694402288,"sisINTA","SP",0,30
"1406",-61.207778,-35.061111,1987-06-19 00:00:00,8.74033826344182,"sisINTA","SP",0,30
"1423",-60.616111,-35.106944,1986-12-01 00:00:00,6.03494336634139,"sisINTA","SP",0,30
"1445",-60.828611,-35.303611,1986-12-20 00:00:00,0.421389490691883,"sisINTA","SP",0,30
"1450",-60.691944,-35.254167,1986-12-01 00:00:00,9.34490102996997,"sisINTA","SP",0,30
"1459",-60.58402,-35.304073,1986-12-23 00:00:00,5.34053969653467,"sisINTA","SP",0,30
"1461",-63.96736,-22.872045,1990-07-15 00:00:00,9.65713275771351,"sisINTA","SP",0,30
"1467",-60.3775,-35.098889,1979-02-01 00:00:00,9.04216132197575,"sisINTA","SP",0,30
"1478",-64.366257,-23.03139,1990-07-15 00:00:00,6.60332986658376,"sisINTA","SP",0,30
"1491",-59.372934,-32.118537,1994-07-15 00:00:00,8.20028094759724,"sisINTA","SP",0,30
"1508",-56.59281,-27.530254,1982-03-19 00:00:00,4.12369076040391,"sisINTA","SP",0,30
"1509",-58.898292,-33.578304,1976-05-06 00:00:00,2.35706046534628,"sisINTA","SP",0,30
"1511",-58.89235,-33.577111,1977-02-10 00:00:00,7.86408736189719,"sisINTA","SP",0,30
"1512",-58.88709,-33.572977,1977-02-10 00:00:00,11.6786337986517,"sisINTA","SP",0,30
"1513",-58.894022,-33.568428,1977-02-10 00:00:00,7.00575478889625,"sisINTA","SP",0,30
