"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005"
"5103",-70.456833,-41.622278,1983-04-12,2.13711328416032,"sisINTA","SP",0,30,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032,2.13711328416032
"5104",-70.245472,-40.738194,1982-11-24,0.839185277326093,"sisINTA","SP",0,30,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093,0.839185277326093
"5105",-66.083889,-33.525278,1982-04-02,3.32747640525365,"sisINTA","SP",0,30,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461,2.47684033701461
"5106",-69.892639,-40.063167,1982-11-05,0.609790168294586,"sisINTA","SP",0,30,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586,0.609790168294586
"5107",-69.097944,-40.29975,1982-12-01,3.06856530822951,"sisINTA","SP",0,30,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951,3.06856530822951
"5109",-71.08,-41.195806,1982-04-02,3.54780329979533,"sisINTA","SP",0,30,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533,3.54780329979533
"511",-60.13757872,-34.16590616,1965-11-24,15.514749371493,"sisINTA","SP",0,30,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333,14.8941593966333
"5112",-71.091667,-41.195306,1982-04-02,4.29427053744208,"sisINTA","SP",0,30,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208,4.29427053744208
"5113",-70.841417,-41.815833,1983-04-13,2.36715409725901,"sisINTA","SP",0,30,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901,2.36715409725901
"5114",-71.448583,-41.679111,1983-04-10,8.31358386777364,"sisINTA","SP",0,30,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364,8.31358386777364
"5115",-71.369306,-41.954778,1982-04-04,6.45077103713713,"sisINTA","SP",0,30,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713,6.45077103713713
"5116",-66.147778,-33.425833,1981-06-11,3.52669031052683,"sisINTA","SP",0,30,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683,3.52669031052683
"5117",-66.085278,-33.356667,1981-06-12,3.98061524883002,"sisINTA","SP",0,30,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275,3.03569680106275
"5118",-66.148333,-33.32,1981-06-12,2.73004033929846,"sisINTA","SP",0,30,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846,2.73004033929846
"5119",-71.1,-36.883333,1990-11-01,3.26813612938101,"sisINTA","SP",0,30,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101,3.26813612938101
