"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005","optional"
"1778",-60.619872,-31.876456,1989-06-30,12.6266441102282,"sisINTA","SP",0,30,9.39485455021529,9.39485455021529,9.39485455021529,9.39485455021529,9.39485455021529,9.39485455021529,9.39485455021529,9.39485455021529,9.30015471938858,9.43052481982669,9.56089492026479,TRUE
"1779",-60.647746,-32.080723,1989-06-30,7.8302351211096,"sisINTA","SP",0,30,5.8260864418616,5.8260864418616,5.8260864418616,5.8260864418616,5.8260864418616,5.8260864418616,5.8260864418616,5.8260864418616,5.76735967845327,5.84820685607873,5.92905403370419,TRUE
"1780",-60.623361,-31.916024,1989-08-04,10.315628244967,"sisINTA","SP",0,30,7.6753431956677,7.6753431956677,7.6753431956677,7.6753431956677,7.6753431956677,7.6753431956677,7.6753431956677,7.6753431956677,7.59797598383044,7.70448484545973,7.81099370708901,TRUE
"1781",-60.361324,-32.139413,1990-06-01,9.73530527753265,"sisINTA","SP",0,30,7.46746591313142,7.46746591313142,7.46746591313142,7.46746591313142,7.46746591313142,7.46746591313142,7.46746591313142,7.39445112354992,7.32143633396843,7.42195336095895,7.52247038794948,TRUE
"1782",-60.286831,-32.113253,1990-06-01,11.3419367314364,"sisINTA","SP",0,30,8.69983256984829,8.69983256984829,8.69983256984829,8.69983256984829,8.69983256984829,8.69983256984829,8.69983256984829,8.61476804436252,8.52970351887674,8.64680901562883,8.76391451238091,TRUE
"1783",-60.258389,-32.329598,1993-12-10,9.25597630403411,"sisINTA","SP",0,30,7.73845898898772,7.73845898898772,7.73845898898772,7.73845898898772,7.66903916670746,7.59961934442721,7.53019952214695,7.46077969986669,7.39135987758644,7.48692783292559,7.58249578826474,TRUE
"1785",-58.992525,-28.444455,1971-05-14,3.38546497382676,"sisINTA","SP",0,30,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,3.38546497382676,TRUE
"1786",-58.924617,-28.370351,1972-11-01,3.54087489065526,"sisINTA","SP",0,30,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,3.54087489065526,TRUE
"1787",-58.916282,-28.621066,1971-03-25,1.25336901136035,"sisINTA","SP",0,30,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,1.25336901136035,TRUE
"1788",-58.910837,-29.268935,1970-02-13,0.59591393729148,"sisINTA","SP",0,30,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,0.59591393729148,TRUE
"1789",-59.357582,-29.522624,1970-12-15,6.28302682802508,"sisINTA","SP",0,30,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,6.28302682802508,TRUE
"1790",-58.528068,-29.009052,1970-04-29,7.63116152046124,"sisINTA","SP",0,30,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,7.63116152046124,TRUE
